Lat,Lon,Title,Anzahl
48.9467562,11.4038717,null,117
48.6296972,9.1949534,null,96
50.7333163,11.0747905,null,1
51.4781796,7.5542336,null,358
50.6118537,9.1909725,null,15
49.4173988,6.9805789,null,1
53.0758196,8.8071646,null,3
53.550341,10.000654,null,11
52.5170365,13.3888599,null,15
53.7735234,12.5755746,null,5
54.1853998,9.8220089,null,7
52.8398531,9.075962,null,18
50.9295798,13.4585052,null,1
52.8455492,13.2461296,null,2
49.9531599,7.310646,null,8
